object name,library name,text,rodata,data,bss,code,flash,ram
lib_a-qsort.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,808,0,0,0,808,808,0
lib_a-rand.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,76,0,0,0,76,76,0
lib_a-reent.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,146,0,0,0,146,146,0
lib_a-refill.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,278,0,0,0,278,278,0
lib_a-s_frexp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,112,0,0,0,112,112,0
lib_a-s_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,16,0,0,0,16,16,0
lib_a-sccl.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,116,0,0,0,116,116,0
lib_a-sf_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,0,12,12,0
lib_a-siscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-snprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,102,0,0,0,102,102,0
lib_a-sprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-sscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-stdio.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,140,0,0,0,140,140,0
lib_a-strcasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,68,0,0,0,68,68,0
lib_a-strcat.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,208,0,0,0,208,208,0
lib_a-strcmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,732,0,0,0,732,732,0
lib_a-strcpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,196,0,0,0,196,196,0
lib_a-strcspn.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strdup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-strdup_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strerror.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1156,1792,0,0,2948,2948,0
lib_a-strlen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,220,0,0,0,220,220,0
lib_a-strncasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,84,0,0,0,84,84,0
lib_a-strncat.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,92,0,0,0,92,92,0
lib_a-strncmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,132,0,0,0,132,132,0
lib_a-strncpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,116,0,0,0,116,116,0
lib_a-strndup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,24,0,0,0,24,24,0
lib_a-strndup_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strnlen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,44,0,0,0,44,44,0
lib_a-strpbrk.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,56,0,0,0,56,56,0
lib_a-strrchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strspn.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strstr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1092,0,0,0,1092,1092,0
lib_a-strtod.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,3048,262,0,0,3310,3310,0
lib_a-strtok.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,28,0,0,0,28,28,0
lib_a-strtok_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,120,0,0,0,120,120,0
lib_a-strtol.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,266,0,0,0,266,266,0
lib_a-strtoll.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,330,0,0,0,330,330,0
lib_a-strtoul.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,274,0,0,0,274,274,0
lib_a-strtoull.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,338,0,0,0,338,338,0
lib_a-svfiprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,234,0,0,0,234,234,0
lib_a-svfiscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4158,34,0,0,4192,4192,0
lib_a-svfprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4884,78,0,0,4962,4962,0
lib_a-svfscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4796,39,0,0,4835,4835,0
lib_a-time.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,38,0,0,0,38,38,0
lib_a-tolower.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-tzcalc_limits.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,340,0,0,0,340,340,0
lib_a-tzlock.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,24,0,0,0,24,24,0
lib_a-tzset.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,14,0,0,0,14,14,0
lib_a-tzset_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,772,56,0,26,828,828,26
lib_a-tzvars.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,4,8,8,4,12,16
lib_a-u_strerr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4,0,0,0,4,4,0
lib_a-ungetc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,112,0,0,0,112,112,0
lib_a-vfiprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,104,0,0,0,104,104,0
lib_a-vfprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,5200,91,0,0,5291,5291,0
lib_a-vsnprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,118,0,0,0,118,118,0
lib_a-vsprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,70,0,0,0,70,70,0
lib_a-vsscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,98,0,0,0,98,98,0
lib_a-wbuf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,146,0,0,0,146,146,0
lib_a-wcrtomb.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,44,0,0,0,44,44,0
lib_a-wctomb_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,26,0,0,0,26,26,0
lib_a-wsetup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,170,0,0,0,170,170,0
lib_a-xpg_strerror_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,96,0,0,0,96,96,0
ql_audio.c.obj,..\..\components\ql-kernel\libs\liboql_api_audio.a,10926,2389,52,164,13315,13367,216
ql_power.c.obj,..\..\components\ql-kernel\libs\liboql_api_power.a,4450,919,56,41,5369,5425,97
ql_hd_gnss.c.obj,..\..\components\ql-kernel\libs\liboql_hd_gnss.a,1526,379,8,0,1905,1913,8
quec_modem_interface.c.obj,..\..\components\ql-kernel\libs\libq_modem.a,520,109,0,0,629,629,0
ql_adc.c.obj,..\..\components\ql-kernel\libs\libql_api_adc.a,400,45,2,0,445,447,2
ql_api_camera.c.obj,..\..\components\ql-kernel\libs\libql_api_camera.a,2900,549,0,28,3449,3449,28
ql_log.c.obj,..\..\components\ql-kernel\libs\libql_api_common.a,682,114,1,113,796,797,114
ql_api_datacall.c.obj,..\..\components\ql-kernel\libs\libql_api_datacall.a,16060,3454,182,1666,19514,19696,1848
ql_api_dev.c.obj,..\..\components\ql-kernel\libs\libql_api_dev.a,2152,458,11,4,2610,2621,15
ql_api_fota.c.obj,..\..\components\ql-kernel\libs\libql_api_fota.a,3528,1059,2,0,4587,4589,2
ql_fs.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,6900,970,0,4,7870,7870,4
ql_fs_handler.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,3856,1038,200,20,4894,5094,220
ql_ftp_client.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,4238,286,4,0,4524,4528,4
ql_ftp_parse.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,3378,462,8,0,3840,3848,8
ql_gpio.c.obj,..\..\components\ql-kernel\libs\libql_api_gpio.a,3564,383,0,384,3947,3947,384
ql_http_client.c.obj,..\..\components\ql-kernel\libs\libql_api_http.a,2828,210,0,4,3038,3038,4
ql_i2c.c.obj,..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,109,36,0,1581,1617,36
ql_keypad.c.obj,..\..\components\ql-kernel\libs\libql_api_keypad.a,456,100,36,0,556,592,36
ql_lcd.c.obj,..\..\components\ql-kernel\libs\libql_api_lcd.a,4880,325,5,14,5205,5210,19
ql_mqttclient.c.obj,..\..\components\ql-kernel\libs\libql_api_mqtt.a,3584,283,0,24,3867,3867,24
ql_nvitem.c.obj,..\..\components\ql-kernel\libs\libql_api_nvitem.a,1232,292,0,0,1524,1524,0
ql_api_nw.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,24610,8379,307,2366,32989,33296,2673
ql_api_plmnlist.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,268,363,288,0,631,919,288
ql_api_osi.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,5066,344,8,36,5410,5418,44
quec_event.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,2470,653,4,20,3123,3127,24
ql_led.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,164,0,0,5,164,164,5
ql_pwm.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,592,118,192,0,710,902,192
ql_api_rtc.c.obj,..\..\components\ql-kernel\libs\libql_api_rtc.a,1552,311,76,28,1863,1939,104
ql_api_sim.c.obj,..\..\components\ql-kernel\libs\libql_api_sim.a,7090,1381,74,24,8471,8545,98
ql_api_sms.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,8514,897,8,24,9411,9419,32
ql_sms_utf.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,1326,280,0,0,1606,1606,0
ql_api_spi.c.obj,..\..\components\ql-kernel\libs\libql_api_spi.a,3518,532,0,96,4050,4050,96
ql_api_spi6_ext_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,16,0,0,124,124,0
ql_api_spi_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_flash.a,280,76,0,20,356,356,20
ql_api_spi_nand_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1796,188,32,0,1984,2016,32
ql_api_spi_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2442,277,8,13,2719,2727,21
ql_uart.c.obj,..\..\components\ql-kernel\libs\libql_api_uart.a,5868,1415,96,276,7283,7379,372
ql_usb.c.obj,..\..\components\ql-kernel\libs\libql_api_usb.a,1292,407,60,37,1699,1759,97
quec_usb_audio.c.obj,..\..\components\ql-kernel\libs\libql_api_usb.a,722,127,0,28,849,849,28
ql_api_virt_at.c.obj,..\..\components\ql-kernel\libs\libql_api_virt_at.a,1332,256,0,44,1588,1588,44
ql_api_voice_call.c.obj,..\..\components\ql-kernel\libs\libql_api_voice_call.a,4666,207,80,0,4873,4953,80
ql_api_volte.c.obj,..\..\components\ql-kernel\libs\libql_api_volte.a,1692,370,24,6,2062,2086,30
ql_wifi_scan.c.obj,..\..\components\ql-kernel\libs\libql_api_wifiscan.a,3942,900,56,8,4842,4898,64
ql_ssl_ctx.c.obj,..\..\components\ql-kernel\libs\libql_apptcpip.a,1454,0,0,4992,1454,1454,4992
quec_at_app_init.c.obj,..\..\components\ql-kernel\libs\libql_at.a,8,0,0,0,8,8,0
quec_atcmd_general.c.obj,..\..\components\ql-kernel\libs\libql_at.a,9622,2416,373,20,12038,12411,393
quec_atcmd_hw.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1236,218,0,0,1454,1454,0
quec_atcmd_network.c.obj,..\..\components\ql-kernel\libs\libql_at.a,22262,5126,120,2058,27388,27508,2178
quec_atcmd_qcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,10180,3102,397,4,13282,13679,401
quec_atcmd_qdbgcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,5022,1313,301,19,6335,6636,320
quec_atcmd_sim.c.obj,..\..\components\ql-kernel\libs\libql_at.a,3368,1126,24,56,4494,4518,80
quec_atcmd_spi6nor.c.obj,..\..\components\ql-kernel\libs\libql_at.a,152,37,0,0,189,189,0
quec_msg_process.c.obj,..\..\components\ql-kernel\libs\libql_at.a,516,138,0,8,654,654,8
quec_at_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,168,17,0,0,185,185,0
quec_at_param.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1908,1,0,0,1909,1909,0
quec_atc_adapter.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,80,0,0,0,80,80,0
quec_atc_parser.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,5728,6889,0,3804,12617,12617,3804
quec_atresp.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1428,5038,0,16,6466,6466,16
quec_data_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,96,15,0,4,111,111,4
audio_resample.c.obj,..\..\components\ql-kernel\libs\libql_aud_resample.a,1232,9216,0,0,10448,10448,0
quec_camera.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,480,61,9,1,541,550,10
quec_dispatch.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,2034,388,0,4,2422,2422,4
quec_led_task.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,356,89,8,4,445,453,12
base64.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,552,89,0,0,641,641,0
conncache.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1436,182,0,0,1618,1618,0
connect.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3648,782,0,0,4430,4430,0
content_encoding.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4,0,0,0,4,4,0
curl_addrinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,730,0,0,0,730,730,0
curl_ctype.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,208,128,0,0,336,336,0
curl_fnmatch.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1076,43,0,0,1119,1119,0
curl_path.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,576,9,0,0,585,585,0
curl_range.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,272,144,0,0,416,416,0
dotdot.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,356,28,0,0,384,384,0
dynbuf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,540,0,0,0,540,540,0
easy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,690,147,20,4,837,857,24
escape.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,286,0,0,0,286,286,0
fileinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,52,0,0,0,52,52,0
ftp.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,12764,4069,0,0,16833,16833,0
ftplistparser.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2492,54,0,0,2546,2546,0
getenv.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,32,0,0,0,32,32,0
getinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1988,55,0,0,2043,2043,0
hash.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,656,0,0,0,656,656,0
hostip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1898,426,0,0,2324,2324,0
hostip6.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,252,33,0,0,285,285,0
http_proxy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2,0,0,0,2,2,0
if2ip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,138,0,0,0,138,138,0
inet_ntop.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,464,24,0,0,488,488,0
inet_pton.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,440,45,0,0,485,485,0
libssh2.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,11466,5619,0,0,17085,17085,0
llist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,192,0,0,0,192,192,0
mbedtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3158,1466,0,0,4624,4624,0
mprintf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3500,91,0,0,3591,3591,0
multi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,8562,1067,0,0,9629,9629,0
nonblock.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,28,0,0,0,28,28,0
parsedate.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1110,1188,0,0,2298,2298,0
pingpong.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1338,239,0,0,1577,1577,0
progress.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1746,19,0,0,1765,1765,0
quectel_curl_io.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,306,95,0,4,401,401,4
select.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,872,0,0,0,872,872,0
sendf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1280,183,0,0,1463,1463,0
setopt.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,6780,1,0,0,6781,6781,0
share.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,72,0,0,0,72,72,0
slist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,144,0,0,0,144,144,0
socketpair.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,6,0,0,0,6,6,0
socks.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2926,2743,0,0,5669,5669,0
speedcheck.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,188,77,0,0,265,265,0
splay.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,624,32,0,0,656,656,0
strcase.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,166,0,0,0,166,166,0
strdup.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,44,0,0,0,44,44,0
strerror.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,152,3742,0,0,3894,3894,0
strtoofft.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,112,0,0,0,112,112,0
timeval.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,254,0,0,0,254,254,0
transfer.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4126,1067,0,0,5193,5193,0
url.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,10814,1730,0,0,12544,12544,0
urlapi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4722,259,0,0,4981,4981,0
vtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3546,384,12,209,3930,3942,221
warnless.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,102,0,0,0,102,102,0
wildcard.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,102,0,0,0,102,102,0
ql_ext_codec.c.obj,..\..\components\ql-kernel\libs\libql_ext_codec.a,356,70,0,16,426,426,16
quec_sfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,5422,587,16,0,6009,6025,16
quec_vfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,448,97,0,0,545,545,0
quec_ftp_client_c.c.obj,..\..\components\ql-kernel\libs\libql_ftp.a,13684,1920,0,0,15604,15604,0
